data-1.json:
	1:	.980
	2:	.570
	3:	.550
	4:	.590
	5:	.600
	6:	.570
	7:	.610
	8:	.610
	9:	.570
	10:	.580
	11:	.560
	12:	.580
data-2.json:
	1:	1.500
	2:	1.400
	3:	1.360
	4:	1.290
	5:	1.340
	6:	1.310
	7:	1.300
	8:	1.300
	9:	1.310
	10:	1.320
	11:	1.310
	12:	1.300
data-3.json:
	1:	4.530
	2:	3.410
	3:	2.820
	4:	2.640
	5:	2.740
	6:	2.780
	7:	2.770
	8:	2.770
	9:	2.760
	10:	2.680
	11:	2.840
	12:	2.770
data-4.json:
	1:	5.400
	2:	3.950
	3:	3.220
	4:	3.000
	5:	2.840
	6:	2.850
	7:	2.980
	8:	2.890
	9:	2.710
	10:	2.660
	11:	2.670
	12:	2.700
data-5.json:
	1:	10.590
	2:	6.680
	3:	5.870
	4:	5.090
	5:	4.900
	6:	4.820
	7:	4.810
	8:	4.940
	9:	4.950
	10:	4.840
	11:	4.780
	12:	4.750
data-6.json:
	1:	24.970
	2:	14.320
	3:	11.280
	4:	11.350
	5:	10.430
	6:	10.070
	7:	9.630
	8:	9.550
	9:	9.550
	10:	10.200
	11:	10.220
	12:	10.290
data-7.json:
	1:	42.320
	2:	23.740
	3:	19.650
	4:	16.990
	5:	16.930
	6:	16.320
	7:	15.910
	8:	15.290
	9:	15.130
	10:	15.520
	11:	16.120
	12:	16.080
data-8.json:
	1:	138.180
	2:	77.730
	3:	59.230
	4:	51.030
	5:	48.940
	6:	47.800
	7:	45.500
	8:	44.230
	9:	43.860
	10:	45.200
	11:	46.430
	12:	46.710
